score	content	date	label
1	Galaxy 24 Ultra 와 galaxy 24 Plus 집에 세대 있는데 다 8월 이후 똑딱 QR코드 처방전 등록이 안됨. 잘 되다가 갑자기 안 되는 이유를 모르겠고 빨리 수정 바람. 삭제하고 다시 깔아도 안됨	2024-11-24	1
5	시간절약	2024-11-23	0
1	똑딱 대기번호와 실제 대기번호가 다릅니다. 병원에서는 똑딱시스템에 대해 잘 모르던데 병원과 연계가 부족한듯합니다.	2024-11-22	1
5	권국화8누 권국화 난ㅅ긔ㅡ그근 선생님 다 ㄷ .웅 나드 ᆢㄷㆍㄷㅅㅡㅇㅆㅈ ㅇ븢ㄱㅈ ㅇ,ㅅ ㅜ	2024-11-21	0
1	사용 불편	2024-11-19	1
5	굿	2024-11-18	0
5	좋음	2024-11-15	0
4	편리해요	2024-11-14	0
4	실시간 대기 순서 업데이트가 안 되는 것 같습니다.	2024-11-14	0
1	최신 버전 업데이트가 필요하다고 해서 했는데 휴대기기와 호환되지 않는다고 하네요. 정기결제도 했는데 이용할 수가 없습니다. 앱에 들어갈 수가 없으니 고객센터에 문의할 방법이 없네요. 저와 같은 상황의 다른 리뷰에도 답변이 없고, 돈만 나가고 있는 상황이 매우 답답합니다. 빠른 답변 부탁합니다.	2024-11-14	1
1	업데이트 후 버벅임이 너무 심해졌어요 마루시계 켜고 하는데 달력 넘기는데 버퍼링3초 날짜누르고 시간 뜨는데 3초 이게 뭡니까? 돈내고 예약하게 만들었으면 제대로 관리하세요 업데이트전에는 빠릿빠릿 잘되더만 업뎃 하고 오히려 이상해졌네요 예약 실패한적 없는데 업뎃후로 버퍼링 동그라미만 구경하고 있습니다. 유료 구축 했으면 그만한 서비스 제공 해주세요.	2024-11-13	1
2	비용까지내며 왜필요한지 모르겠어요 가야할 병원에서 사용하니까 쓰긴쓰는데 예약해봐야 한시간 기다리거든요	2024-11-12	1
5	예약이 편해요 유료라는게 가장 큰 단점	2024-11-11	0
1	유료인데 매일 버퍼링 걸리고 버벅거리고 돈이 아깝네요 예약 3초컷 병원 예약하려는데 버퍼링3초 ㅡㅡ 돈을 받지 말던지 돈을 받으면 서버안정화 좀 시키던지 이게 먼가요ㅡㅡ 돈은 돈대로내고 몇달 동안 성공한적이 없네요 차라리 에버메디가 훨씬 좋은듯 합니다	2024-11-10	1
5	구우우웃	2024-11-10	0
5	저희 동내 딱한곳만 예약되는거 빼곤 만족합니다 한곳이라도 된다는거에 의미를 ㅋㅋㅋ	2024-11-08	0
4	굿	2024-11-08	0
5	남들이야 불만이 있건 어쩌건, 저는 안쓰던 시절로 돌아갈 수 없습니다.	2024-11-07	0
5	?ㅓㅠㅌ호 ikhyuu	2024-11-06	0
1	업데이트가 안되어서 접속이 안됩니다. 이 앱은 휴대전화와 호환되지 않는다네요ㅡ.ㅡ 앱접속-업데이트 팝업-접속해서 열기버튼-앱접속-팝업.... 이게 무한반복중이예요. 전에는 업데이트 안해도 열렸는데, 지금은 그게 안되네요	2024-11-06	1
1	개즂같은앱 사람나고 어플났지 어플나고 사람났냐 공공의료 질을 개 쓰레기로 만들고 있어	2024-11-04	1
5	편리하고 간편해서 아주 만족!	2024-11-04	0
