score,content,date,label
5,우리아기 병원예약 늘 똑딱으로 해서 다니고있어요. 편리합니다^^,2021-10-12,1
5,너무 편리하고 좋아요!,2019-12-28,1
5,굿이오,2021-05-04,1
5,똑딱이로예약을하니시간도절약되고 또한원장님의친절하고 상세히알려주심에 아픈것이그냥치료되는것같아너무너무 감사합니다 치료도아픈것을 딱집어주시니 너무너무감사합니다,2023-07-11,1
5,미리 예약도 되고 편리해요,2022-02-14,1
4,기다리는 동안 내순번알수있었어좋았어요.오늘첨이라다른건아직요,2019-12-23,1
5,조아요.미리미리알수잇어서,2020-08-15,1
5,원래 예약안되는 병원을 집에서 예약접수하고 가니 너무 편해요 더많은 병원들을 집에서 예약할수 있으면 좋겠어요,2019-03-16,1
5,대기시간없이 편하게 이용하고있어요,2022-12-05,1
5,시간관리에 좋습니다,2023-08-10,1
5,넘 좋아요,2019-05-17,1
5,사용이 편하고 좋습니다,2021-11-27,1
5,굿,2023-04-03,1
5,예약을 하니 많이 안기다려서 너무 편해요^^,2018-11-09,1
5,좋아요.,2024-10-13,1
5,"휴일에 애가 아파 막막했는데, 현재 열고 있는 병원들 리스트업이 되고 예약도 되어서 다행히 진료 잘 받았습니다",2023-08-15,1
5,"생긴것도 너무깔끔하고, 실제적으로 유용한정보들이 너무 많네요~! 별다섯개입니다히히",2015-02-08,1
5,굿,2022-03-17,1
5,"엄청편리하구요, 좀더 많은 병원에서도 똑닥사용할수있으면좋겠어요,생각보다 안되는곳들도 여러군데있어서 사전에 계획한경우라면 더 잘사용할수있을것 같아요",2020-08-19,1
5,예약 편리하네요,2019-05-07,1
5,아주 편리합니다,2019-12-20,1
5,초반시작할때 로딩이느려요,2020-01-18,1
5,"대기순서가 바로바로 나오니, 혼잡한 병원안에서 기다리지 않아 좋고 편해요.",2022-10-22,1
5,아주좋아요~~~^^,2020-04-27,1
5,넘나 좋아요!,2023-12-17,1
5,잘 쓰고 있어요. 좋습니다.,2022-12-10,1
5,덕분에 애 둘 데리고 병원 다니기 그나마 좀 쉬워졌어요ㅜ,2024-06-26,1
5,완전 편리해요 대기인원도 알수잇고 짱이구만요,2019-11-14,1
5,편히 쓰고있어요,2021-12-15,1
5,간편합니다,2020-04-06,1
5,굿,2021-10-15,1
5,꿀스러운 어플이네요!,2015-02-05,1
4,편리하네요~,2020-07-13,1
