score	content	date	label
5	좋아요	2021-10-17	0
5	좋아요	2024-06-10	0
5	택시 어플과 연동해서 사용할 수 있어서 굉장히 편리합니다. 사이트 예약하던 병원이었는데 확실히 어플이 편하네요.	2019-05-30	0
5	편해요	2022-10-25	0
5	편하네요.	2020-07-30	0
5	너무조은앱입니다 계속발전하길빕니다	2022-09-10	0
5	유용한 어플입니다.	2019-12-08	0
5	좋아요	2019-12-21	0
5	정말좋네요	2016-07-10	0
5	좋네요^^★	2020-01-17	0
5	가는동안 예약만해도 시간이 많이절약되요 좋은것같아요	2019-10-15	0
5	접수 신청하고 대기인원 확인하고 병원에 가니 병원에서 주구장창 대기하지 않아도 돼서 너무 좋아요	2019-11-16	0
5	굿	2023-07-16	0
5	편하고좋아욥	2020-01-23	0
5	기다리지 않고 좋았어요	2019-12-06	0
5	좋음	2022-01-19	0
5	좋아요~	2019-04-06	0
5	편리해요	2022-02-27	0
5	예약하고가고 진료 접수현황 알려주고좋음	2022-06-15	0
5	잘 쓰고 있어요. 질병 자가 진단도 할 수 있으면 좋을 거 같아요.	2022-05-20	0
5	대학생제자들한테 도움되겠네요  병원은 모르겠고 학원은 확실히	2015-02-03	0
5	당일예약도돼고 좋아요~덕분에 안기다리고 바로 진료받았어요~	2022-10-07	0
5	편리합니다	2022-11-09	0
5	편하고 좋네요	2023-04-06	0
5	너무 좋아요	2020-06-09	0
5	직접가지 않아도 정보를 알 수 있다는 점에서 바쁜 학생들이나 직장인들께 좋고 편리하고 유용한 어플입니다	2015-02-06	0
5	오 신세계 👍	2021-12-29	0
5	똑딱이없는 소아과는 안갈정도로 잘쓰고잇어요. 혹시 접수하기 창에서 뒤로갓다와야 업데이트되는데.. 접수하기창에서 새로고침 버튼 있으면 편리할것같아요	2023-06-18	0
5	병원 예약이 너무 편리 해졌어요.	2021-11-26	0
5	병원앱은 거의다써봤지만 이렇게좋은앱은본적이없다	2017-01-07	0
5	좋음	2018-12-16	0
5	미리 접수 할 수 있고 대기자 확인이 되서 좋아요 근데 의사 선생님 선택 전에 미리 대기자수를 확인 할 수 있음 좋겠네요	2020-11-19	0
5	생각하지 못했던 편리함을 전해준 앱이네요	2015-02-02	0
5	진짜 어디 갈지 고민 햇늗데	2016-09-03	0
5	원장선생님도 친절하시고 치료후 효과도너무좋아 아주 만족 합니다	2024-01-22	0
5	소아과 기본 대기 2시간인데 똑닥덕분에 집에서 편히 쉬고 있다가 시간 맞춰 가게되니 편리하네요 모든 병원이 사용하는 그날까지..	2023-12-15	0
5	휴일 병원 찾고 예약하는데 매우 잘 사용하고 있어요.	2022-10-02	0
5	좋아요	2020-07-18	0
5	좋아요	2023-12-26	0
5	정말 유용한 앱이네요~최고입니다~	2015-02-05	0
5	편리하게 잘쓰고있어요	2021-12-11	0
5	잘 사용하고 있어요~	2023-11-14	0
5	편하게 잘쓰고 있어요	2023-08-07	0
5	편하고 좋아요	2020-06-22	0
5	미리접수후 가니 너무좋아요	2018-12-03	0
5	편리해요 자주이용해요	2019-06-13	0
5	편리한 어플이내여~신세계 입니당~ 자주 많이 이용 할것 같아요~^^	2019-03-08	0
5	간편히 예약할수있어 좋아요.	2018-12-02	0
5	병원 검색 혹은 이벤트 병원에 대한 후기등의 이용자 코멘트가 있어서 병원서비스에대한 평가정보를 어플리케이션 이용자가 공유하는 형태가 되면 사용자가 더 늘지않을까싶어요. 병원광고가 단지 당사의 매출개선이 아닌, 광고소비자에 대한 올바른정보제공 목적으로 이용했던자의 리뷰에대한 부분을 신설하면어떨까제안드려요. 배달의민족 어플상 주문음식에 대한 리뷰처럼요.	2018-09-14	0
5	평소에 정말 편하게 사용해왔어요. 그런데 오랜만에 사용하려는데 업데이트가 있길래 하고나니 실행이 안되서 다시 삭제하고 재설치하고 해봤는데도 앱실행이 안됩니다. 앱을 켜면 http 400이라는 문구가 잠깐 뜨고 실행이 안되요ㅠㅠ편하게 잘 사용했는데 안되니 너무 아쉽습니다..해결방법은 없을까요.	2023-01-29	0
5	친절하고 좋은병원입니다	2019-10-26	0
5	오락가락한 제감정이 똑닥을 통해 점점 차분해지고있습니다  정말 감사합니다	2016-08-24	0
5	굿	2019-09-15	0
5	좋아요	2023-04-14	0
5	편해서 좋아요	2022-08-18	0
5	좋아요	2019-11-22	0
5	굿	2023-02-15	0
5	진짜 좋아요. 병원 대기시간이 확 줄어서 정말 감사히 쓰고 있습니다.	2023-07-02	0
